Date,Region/City-Eng,Region_ID,Day-Confirmed,Day-Deaths,Day-Recovered,Confirmed,Deaths,Recovered
3/29/2020,Krasnodar region,23,0,0,1,17,0,1
3/29/2020,Leningrad region,47,2,0,0,9,0,0
3/29/2020,Lipetsk region,48,1,0,0,9,0,3
3/29/2020,Moscow,77,197,5,10,1014,8,28
3/29/2020,Moscow region,50,27,0,1,112,0,10
3/29/2020,Murmansk region,51,2,0,0,3,0,0
3/29/2020,Nizhny Novgorod Region,52,0,0,0,11,0,1
3/29/2020,Novgorod region,53,2,0,0,3,0,0
3/29/2020,Novosibirsk region,54,1,0,0,8,0,0
3/29/2020,Omsk region,55,3,0,0,3,0,0
3/29/2020,Orenburg region,56,0,1,0,6,1,0
3/29/2020,Penza region,58,5,0,0,7,0,0
3/29/2020,Pskov region,60,0,1,0,6,1,0
3/29/2020,Republic of Bashkortostan,2,1,0,0,5,0,0
3/29/2020,The Republic of Buryatia,3,5,0,0,13,0,0
3/29/2020,Mari El Republic,12,2,0,0,2,0,0
3/29/2020,The Republic of Mordovia,13,1,0,0,3,0,0
3/29/2020,The Republic of Khakassia,19,1,0,0,3,0,0
3/29/2020,Komi Republic,11,4,0,1,7,0,1
3/29/2020,Ryazan Oblast,62,1,0,0,3,0,0
3/29/2020,St. Petersburg,78,5,1,0,42,1,5
3/29/2020,Saratov region,64,2,0,0,4,0,0
3/29/2020,Sverdlovsk region,66,0,0,1,24,0,1
3/29/2020,Tambov Region,68,0,0,3,3,0,3
3/29/2020,Tomsk region,70,1,0,1,3,0,1
3/29/2020,Tyumen region,72,1,0,0,4,0,1
3/29/2020,Khabarovsk region,27,2,0,0,7,0,0
3/29/2020,Khanty-Mansiysk,86,1,0,0,5,0,0
3/29/2020,Chelyabinsk region,74,5,0,0,14,0,0
3/29/2020,Chechen Republic,95,4,0,0,9,0,0
3/29/2020,The Republic of Sakha (Yakutia),14,1,0,0,15,0,0
3/29/2020,Yaroslavl region,76,1,0,0,3,0,0
3/30/2020,Arkhangelsk region,29,4,0,0,7,0,0
3/30/2020,Astrakhan region,30,2,0,0,2,0,0
3/30/2020,Belgorod region,31,3,0,0,5,0,0
3/30/2020,Vladimir region,33,2,0,0,2,0,0
3/30/2020,Ivanovo region,37,2,0,0,9,0,0
3/30/2020,Irkutsk region,38,1,0,0,2,0,0
3/30/2020,Kabardino-Balkar Republic,7,2,0,0,6,0,0
3/30/2020,Kaliningrad region,39,1,0,0,12,0,2
3/30/2020,Kaluga region,40,1,0,0,3,0,0
3/30/2020,Kirov region,43,3,0,0,12,0,2
3/30/2020,Krasnoyarsk region,24,2,0,0,14,0,3
3/30/2020,Leningrad region,47,2,0,0,11,0,0
3/30/2020,Lipetsk region,48,1,0,0,10,0,3
3/30/2020,Moscow,77,212,0,0,1226,8,28
3/30/2020,Moscow region,50,7,0,4,119,0,14
3/30/2020,Murmansk region,51,2,0,1,5,0,1
3/30/2020,Nizhny Novgorod Region,52,0,0,0,11,0,1
3/30/2020,Novosibirsk region,54,1,0,0,9,0,0
3/30/2020,Orenburg region,56,1,0,0,7,1,0
3/30/2020,Perm,59,2,0,0,13,0,0
3/30/2020,Pskov region,60,3,0,0,9,1,0
3/30/2020,Republic of Adygea,1,3,0,0,4,0,0
3/30/2020,The Republic of Dagestan,5,3,0,0,4,0,0
3/30/2020,Republic of Kalmykia,8,1,0,0,1,0,0
3/30/2020,Komi Republic,11,15,0,0,22,0,1
3/30/2020,Ryazan Oblast,62,2,0,0,5,0,0
3/30/2020,St. Petersburg,78,8,1,0,50,2,5
3/30/2020,Stavropol region,26,1,0,0,6,0,0
3/30/2020,Tambov Region,68,0,0,0,3,0,2
3/30/2020,Tver region,69,1,0,0,4,0,2
3/30/2020,Tula region,71,1,0,0,12,0,0
3/30/2020,Chelyabinsk region,74,0,0,0,14,0,0
3/30/2020,Yaroslavl region,76,0,0,1,3,0,1
3/31/2020,Altai region,22,1,0,0,2,0,0
3/31/2020,Belgorod region,31,0,0,1,5,0,1
3/31/2020,Vladimir region,33,0,1,0,2,1,0
3/31/2020,Voronezh region,36,2,0,2,8,0,2
3/31/2020,Irkutsk region,38,1,0,0,3,0,0
3/31/2020,Kirov region,43,0,0,1,12,0,3
3/31/2020,Kostroma region,44,1,0,0,2,0,0
3/31/2020,Krasnodar region,23,0,0,1,17,0,2
3/31/2020,Krasnoyarsk region,24,0,0,1,14,0,4
3/31/2020,Kurgan region,45,0,0,1,1,0,1
3/31/2020,Leningrad region,47,3,0,1,14,0,1
3/31/2020,Magadan Region,49,1,0,0,1,0,0
3/31/2020,Moscow,77,387,3,42,1613,11,70
3/31/2020,Moscow region,50,0,1,0,119,1,14
3/31/2020,Murmansk region,51,6,0,0,11,0,1
3/31/2020,Nizhny Novgorod Region,52,1,0,0,12,0,1
3/31/2020,Penza region,58,5,1,0,12,1,0
3/31/2020,Primorsky Krai,25,2,0,1,4,0,1
3/31/2020,Pskov region,60,0,1,0,9,2,0
3/31/2020,Republic of Bashkortostan,2,2,0,0,7,0,0
3/31/2020,The Republic of Buryatia,3,6,0,0,19,0,0
3/31/2020,The Republic of Dagestan,5,9,0,0,13,0,0
3/31/2020,Republic of Kalmykia,8,1,0,0,2,0,0
3/31/2020,Republic of Crimea,82,1,0,0,16,0,0
3/31/2020,Republic of Tatarstan,16,5,0,0,19,0,1
3/31/2020,Rostov region,61,3,0,0,5,0,0
3/31/2020,Ryazan Oblast,62,0,0,0,5,0,0
3/31/2020,Samara Region,63,1,0,0,15,0,1
3/31/2020,St. Petersburg,78,48,0,2,98,2,7
3/31/2020,Sverdlovsk region,66,9,0,0,33,0,1
3/31/2020,Tambov Region,68,0,0,0,3,0,1
3/31/2020,Tula region,71,0,0,3,12,0,3
3/31/2020,Tyumen region,72,2,0,1,6,0,2
3/31/2020,Khabarovsk region,27,1,0,0,8,0,0
3/31/2020,Chelyabinsk region,74,0,0,0,14,0,0
4/1/2020,Altai region,22,1,0,0,3,0,0
4/1/2020,Bryansk region,32,2,0,0,5,0,0
4/1/2020,Vladimir region,33,1,0,0,3,1,0
4/1/2020,Volgograd region,34,4,0,0,8,0,0
4/1/2020,Vologda Region,35,7,0,0,9,0,0
4/1/2020,Voronezh region,36,4,0,0,12,0,2
4/1/2020,Ivanovo region,37,2,0,0,11,0,0
4/1/2020,Kabardino-Balkar Republic,7,2,0,0,8,0,0
4/1/2020,Kaliningrad region,39,0,0,3,12,0,5
4/1/2020,Kostroma region,44,1,0,0,3,0,0
4/1/2020,Krasnodar region,23,5,0,1,22,0,3
4/1/2020,Krasnoyarsk region,24,6,0,0,20,0,4
4/1/2020,Kursk region,46,3,0,0,3,0,0
4/1/2020,Leningrad region,47,6,0,0,20,0,1
4/1/2020,Lipetsk region,48,1,0,0,11,0,3
4/1/2020,Moscow,77,267,5,45,1880,16,115
4/1/2020,Moscow region,50,15,1,3,134,2,17
4/1/2020,Novosibirsk region,54,1,0,2,10,0,2
4/1/2020,Omsk region,55,4,0,0,7,0,0
4/1/2020,Penza region,58,4,0,0,16,1,0
4/1/2020,Perm,59,0,1,0,13,1,0
4/1/2020,Primorsky Krai,25,1,0,0,5,0,1
4/1/2020,Republic of Bashkortostan,2,1,0,1,8,0,1
4/1/2020,The Republic of Buryatia,3,6,0,0,25,0,0
4/1/2020,The Republic of Dagestan,5,2,0,0,15,0,0
4/1/2020,The Republic of Mordovia,13,1,0,0,4,0,0
4/1/2020,Republic of North Ossetia - Alania,15,2,0,0,2,0,0
